name,description,user_id,is_public
"E-Commerce Platform","A full-featured online shopping platform with cart, payments, and inventory management",1,true
"Personal Blog","A simple blogging platform for sharing thoughts and experiences",2,true
"Task Manager","Project management tool for tracking tasks, deadlines, and team collaboration",1,false
"Recipe Sharing App","Social platform for sharing and discovering cooking recipes",3,true
"Fitness Tracker","Health and fitness monitoring application with workout plans and progress tracking",2,false
"Learning Management System","Educational platform for online courses, quizzes, and student progress tracking",4,true
"Event Planning Tool","Comprehensive event management system for planning weddings, conferences, and parties",3,false
"Inventory Management","Warehouse and inventory tracking system for businesses",1,false
"Social Media Dashboard","Analytics and management tool for multiple social media platforms",4,true
"Real Estate Portal","Property listing and management platform for real estate agents",2,true
"Customer Support System","Helpdesk and ticket management system for customer service teams",3,false
"Portfolio Website","Professional portfolio showcase for designers and developers",4,true
"Weather Monitoring","Environmental data collection and weather forecasting system",1,true
"Chat Application","Real-time messaging platform with group chats and file sharing",2,false
"Budget Tracker","Personal finance management tool for tracking expenses and income",3,false
"Travel Planner","Trip planning and itinerary management application",4,true
"Music Streaming Service","Digital music platform with playlists and recommendations",1,true
"Document Management","Cloud-based document storage and collaboration platform",2,false
"Gaming Community","Social platform for gamers with tournaments and leaderboards",3,true
"Appointment Scheduler","Online booking system for healthcare providers and service businesses",4,false
